service_order_no,order_date,region,technician_id,job_code,job_description,parts_cost,labor_cost,truck_cost,base_cost,list_price,discount_pct,sell_price,warranty_flag,margin_amount,margin_pct
51575,2024-03-02,DE-Hamburg,T0269,81433,Drier Replace,175.51,107.46,43.73,326.7,352.82,0.05,335.18,0,8.48,0.0253
51576,2024-05-24,DE-Munich,T0167,85005,Refrigerant Charge,22.11,61.62,24.02,107.75,136.34,0.163,114.12,0,6.37,0.0558
51577,2024-08-03,EU-EMEA-Remote,T0130,81120,Compressor Repair/Replace,192.41,129.25,27.68,349.34,410.8,0.154,347.54,0,-1.8,-0.0052
51578,2024-01-03,EU-EMEA-Remote,T0216,81120,Compressor Repair/Replace,175.0,55.24,16.97,247.21,286.06,0.057,269.75,0,22.54,0.0836
51579,2024-06-08,NL-Amsterdam,T0481,82010,Evaporator Coil Replace,608.69,72.6,32.12,713.41,844.68,0.078,778.79,0,65.38,0.084
51580,2024-08-14,DE-Berlin,T0341,85005,Refrigerant Charge,157.8,71.87,21.78,251.45,237.84,0.071,220.95,0,-30.5,-0.138
51581,2024-09-25,EU-EMEA-Remote,T0155,81433,Drier Replace,208.58,47.71,21.0,277.29,365.74,0.099,329.53,0,52.24,0.1585
51582,2024-04-29,DE-Berlin,T0356,83020,Thermostat Replace,60.2,102.36,21.2,183.76,195.44,0.13,170.03,0,-13.73,-0.0808
51583,2024-03-29,DE-Berlin,T0231,84015,Leak Diagnosis & Seal,605.48,78.03,11.67,695.18,777.28,0.162,651.36,1,-43.82,-0.0673
51584,2024-11-24,DE-Berlin,T0083,81120,Compressor Repair/Replace,345.86,104.64,20.0,470.5,556.96,0.054,526.88,0,56.38,0.107
51585,2024-03-08,DE-Hamburg,T0383,85005,Refrigerant Charge,66.49,129.43,26.37,222.29,284.89,0.128,248.42,1,26.13,0.1052
51586,2024-12-22,NL-Amsterdam,T0401,85005,Refrigerant Charge,70.85,52.02,9.64,132.51,166.12,0.185,135.39,1,2.88,0.0213
51587,2024-04-07,DE-Berlin,T0044,85005,Refrigerant Charge,179.23,118.05,30.17,327.45,373.78,0.041,358.46,0,31.01,0.0865
51588,2024-09-23,NL-Amsterdam,T0084,81120,Compressor Repair/Replace,137.66,98.1,19.85,255.61,322.91,0.104,289.33,0,33.72,0.1165
51589,2024-04-14,DE-Berlin,T0281,83020,Thermostat Replace,70.79,43.88,23.96,138.63,171.29,0.038,164.78,0,26.15,0.1587
51590,2024-11-18,DE-Hamburg,T0464,85005,Refrigerant Charge,51.31,96.57,5.0,152.88,202.67,0.161,170.04,0,17.16,0.1009
51591,2024-05-02,EU-EMEA-Remote,T0094,85005,Refrigerant Charge,235.35,50.61,23.8,309.76,392.79,0.094,355.87,0,46.11,0.1296
51592,2024-01-29,DE-Berlin,T0162,84015,Leak Diagnosis & Seal,112.5,103.18,13.65,229.33,302.55,0.09,275.32,0,45.99,0.167
51593,2024-05-16,NL-Amsterdam,T0377,85005,Refrigerant Charge,392.8,106.79,19.19,518.78,655.04,0.009,649.14,0,130.36,0.2008
51594,2024-07-13,DE-Berlin,T0039,82010,Evaporator Coil Replace,503.55,74.98,9.46,587.99,688.82,0.052,653.0,0,65.01,0.0996
51595,2024-08-13,NL-Amsterdam,T0238,81433,Drier Replace,65.73,109.18,14.94,189.85,232.88,0.046,222.17,0,32.32,0.1455
51596,2024-11-27,DE-Berlin,T0115,83020,Thermostat Replace,185.32,36.3,20.69,242.31,311.84,0.041,299.05,0,56.74,0.1897
51597,2024-06-18,DE-Hamburg,T0085,82010,Evaporator Coil Replace,909.29,57.62,19.83,986.74,1089.79,0.304,758.49,1,-228.25,-0.3009
51598,2024-01-09,NL-Amsterdam,T0397,83020,Thermostat Replace,113.1,70.34,29.08,212.52,273.77,0.12,240.92,0,28.4,0.1179
51599,2024-02-09,DE-Berlin,T0001,82010,Evaporator Coil Replace,981.49,134.03,7.06,1122.58,1372.09,0.115,1214.3,1,91.72,0.0755
51600,2024-01-25,AT-Vienna,T0138,85005,Refrigerant Charge,198.51,49.4,21.59,269.5,327.79,0.079,301.89,0,32.39,0.1073
51601,2024-09-17,DE-Berlin,T0203,81433,Drier Replace,110.92,41.37,21.21,173.5,229.54,0.084,210.26,0,36.76,0.1748
51602,2024-08-13,DE-Berlin,T0064,81120,Compressor Repair/Replace,1164.82,39.82,18.34,1222.98,1611.86,0.042,1544.16,0,321.18,0.208
51603,2024-05-03,EU-EMEA-Remote,T0229,83020,Thermostat Replace,33.26,87.5,14.69,135.45,177.45,0.033,171.59,0,36.14,0.2106
51604,2024-02-07,EU-EMEA-Remote,T0361,83020,Thermostat Replace,92.51,53.89,30.82,177.22,214.53,0.027,208.74,0,31.52,0.151
51605,2024-11-23,EU-EMEA-Remote,T0161,81433,Drier Replace,175.51,79.55,38.38,293.44,344.96,0.189,279.76,0,-13.68,-0.0489
51606,2024-09-07,DE-Munich,T0018,82010,Evaporator Coil Replace,1244.86,96.33,8.29,1349.48,1743.11,0.039,1675.13,0,325.65,0.1944
51607,2024-06-24,NL-Amsterdam,T0178,83020,Thermostat Replace,205.04,90.94,14.61,310.59,394.54,0.135,341.28,0,30.69,0.0899
51608,2024-03-30,EU-EMEA-Remote,T0475,81433,Drier Replace,271.95,89.72,13.97,375.64,477.33,0.034,461.1,0,85.46,0.1853
51609,2024-02-06,EU-EMEA-Remote,T0343,84015,Leak Diagnosis & Seal,129.06,79.19,19.75,228.0,260.52,0.016,256.35,0,28.35,0.1106
51610,2024-11-11,EU-EMEA-Remote,T0490,85005,Refrigerant Charge,128.09,57.55,32.05,217.69,293.31,0.139,252.54,0,34.85,0.138
51611,2024-06-24,EU-EMEA-Remote,T0038,81120,Compressor Repair/Replace,188.58,72.54,26.22,287.34,320.33,0.023,312.96,0,25.62,0.0819
51612,2024-10-10,EU-EMEA-Remote,T0382,81433,Drier Replace,265.46,90.77,20.77,377.0,444.86,0.043,425.73,0,48.73,0.1145
51613,2024-03-21,EU-EMEA-Remote,T0415,81120,Compressor Repair/Replace,677.78,86.65,22.13,786.56,953.07,0.084,873.01,1,86.45,0.099
51614,2024-04-23,DE-Munich,T0330,81433,Drier Replace,804.04,61.81,19.45,885.3,925.99,0.215,726.9,0,-158.4,-0.2179
51615,2024-02-09,DE-Berlin,T0474,83020,Thermostat Replace,82.72,17.5,27.91,128.13,145.87,0.032,141.2,0,13.07,0.0926
51616,2024-10-27,DE-Munich,T0463,81433,Drier Replace,48.45,103.03,28.88,180.36,244.7,0.014,241.27,0,60.91,0.2525
51617,2024-08-11,DE-Munich,T0114,81120,Compressor Repair/Replace,234.44,109.98,26.73,371.15,485.85,0.07,451.84,0,80.69,0.1786
51618,2024-11-13,NL-Amsterdam,T0380,81433,Drier Replace,369.27,89.6,5.0,463.87,582.12,0.022,569.31,0,105.44,0.1852
51619,2024-12-14,AT-Vienna,T0211,85005,Refrigerant Charge,67.35,73.21,22.11,162.67,170.03,0.164,142.15,1,-20.52,-0.1444
51620,2024-04-24,AT-Vienna,T0170,82010,Evaporator Coil Replace,360.85,62.35,20.51,443.71,519.45,0.08,477.89,0,34.18,0.0715
51621,2024-07-04,DE-Hamburg,T0108,82010,Evaporator Coil Replace,548.87,78.4,29.93,657.2,796.48,0.053,754.27,0,97.07,0.1287
51622,2024-11-18,DE-Berlin,T0295,83020,Thermostat Replace,84.14,86.31,23.91,194.36,230.7,0.047,219.86,0,25.5,0.116
51623,2024-02-25,EU-EMEA-Remote,T0114,85005,Refrigerant Charge,166.66,97.81,26.45,290.92,377.29,0.196,303.34,0,12.42,0.0409
51624,2024-02-09,NL-Amsterdam,T0136,85005,Refrigerant Charge,61.59,140.58,18.04,220.21,273.85,0.196,220.18,1,-0.03,-0.0001
51625,2024-12-19,EU-EMEA-Remote,T0073,82010,Evaporator Coil Replace,852.07,40.22,29.52,921.81,1059.34,0.093,960.82,1,39.01,0.0406
51626,2024-02-09,DE-Hamburg,T0210,81433,Drier Replace,149.35,88.56,31.87,269.78,298.74,0.018,293.36,0,23.58,0.0804
51627,2024-12-12,EU-EMEA-Remote,T0126,83020,Thermostat Replace,139.77,51.12,8.98,199.87,265.17,0.065,247.93,0,48.06,0.1938
51628,2024-08-24,DE-Hamburg,T0318,81433,Drier Replace,29.87,99.32,11.63,140.82,166.31,0.131,144.52,0,3.7,0.0256
51629,2024-10-15,DE-Berlin,T0173,82010,Evaporator Coil Replace,138.62,36.31,28.1,203.03,202.44,0.125,177.14,0,-25.89,-0.1462
51630,2024-09-18,EU-EMEA-Remote,T0090,81433,Drier Replace,360.82,42.65,20.62,424.09,498.44,0.125,436.14,0,12.05,0.0276
51631,2024-08-03,DE-Munich,T0324,85005,Refrigerant Charge,97.01,75.74,30.23,202.98,257.44,0.191,208.27,0,5.29,0.0254
51632,2024-05-26,DE-Hamburg,T0443,83020,Thermostat Replace,55.27,73.15,23.93,152.35,182.23,0.313,125.19,0,-27.16,-0.217
51633,2024-12-01,EU-EMEA-Remote,T0114,82010,Evaporator Coil Replace,88.94,53.86,27.54,170.34,218.47,0.085,199.9,0,29.56,0.1479
51634,2024-06-16,DE-Berlin,T0302,82010,Evaporator Coil Replace,841.16,61.81,16.02,918.99,1160.08,0.041,1112.52,0,193.53,0.174
51635,2024-04-01,DE-Munich,T0307,81120,Compressor Repair/Replace,497.06,72.17,24.72,593.95,776.6,0.1,698.94,0,104.99,0.1502
51636,2024-12-18,DE-Hamburg,T0359,81120,Compressor Repair/Replace,474.2,70.6,24.74,569.54,715.74,0.193,577.6,0,8.06,0.014
51637,2024-02-28,AT-Vienna,T0014,82010,Evaporator Coil Replace,1071.2,143.6,16.49,1231.29,1585.47,0.084,1452.29,1,221.0,0.1522
51638,2024-02-28,AT-Vienna,T0096,84015,Leak Diagnosis & Seal,185.17,103.21,30.01,318.39,408.73,0.098,368.67,1,50.28,0.1364
51639,2024-10-30,AT-Vienna,T0165,81433,Drier Replace,49.05,74.91,6.84,130.8,185.69,0.144,158.95,0,28.15,0.1771
51640,2024-06-17,DE-Munich,T0361,81120,Compressor Repair/Replace,314.36,130.48,23.66,468.5,545.72,0.135,472.05,0,3.55,0.0075
51641,2024-09-25,NL-Amsterdam,T0241,82010,Evaporator Coil Replace,1208.61,89.39,11.65,1309.65,1513.28,0.163,1266.62,0,-43.03,-0.034
51642,2024-12-28,EU-EMEA-Remote,T0220,85005,Refrigerant Charge,149.0,56.87,13.82,219.69,274.35,0.077,253.23,1,33.54,0.1324
51643,2024-02-14,EU-EMEA-Remote,T0287,81120,Compressor Repair/Replace,665.78,91.18,29.89,786.85,942.17,0.042,902.6,0,115.75,0.1282
51644,2024-12-10,EU-EMEA-Remote,T0416,84015,Leak Diagnosis & Seal,68.02,90.51,13.2,171.73,217.62,0.044,208.04,0,36.31,0.1745
51645,2024-06-29,DE-Berlin,T0418,81120,Compressor Repair/Replace,158.44,64.75,12.86,236.05,284.75,0.198,228.37,0,-7.68,-0.0336
51646,2024-06-18,DE-Hamburg,T0470,83020,Thermostat Replace,230.72,62.32,26.64,319.68,345.11,0.029,335.1,0,15.42,0.046
51647,2024-12-21,DE-Berlin,T0035,81120,Compressor Repair/Replace,344.12,79.01,13.11,436.24,565.61,0.146,483.03,1,46.79,0.0969
51648,2024-07-09,DE-Munich,T0183,85005,Refrigerant Charge,130.06,67.58,30.15,227.79,305.13,0.162,255.7,1,27.91,0.1092
51649,2024-06-03,DE-Berlin,T0205,84015,Leak Diagnosis & Seal,527.63,114.67,27.16,669.46,665.95,0.168,554.07,0,-115.39,-0.2083
51650,2024-07-06,DE-Hamburg,T0137,81433,Drier Replace,342.87,119.72,15.78,478.37,584.91,0.055,552.74,1,74.37,0.1345
51651,2024-01-07,EU-EMEA-Remote,T0188,81120,Compressor Repair/Replace,351.1,60.4,29.84,441.34,549.81,0.075,508.57,0,67.23,0.1322
51652,2024-05-12,DE-Munich,T0231,85005,Refrigerant Charge,8.44,95.93,6.49,110.86,133.18,0.066,124.39,0,13.53,0.1088
51653,2024-08-22,DE-Munich,T0119,83020,Thermostat Replace,121.7,119.48,25.78,266.96,326.93,0.158,275.28,0,8.32,0.0302
51654,2024-02-14,AT-Vienna,T0212,81120,Compressor Repair/Replace,416.0,41.12,12.03,469.15,562.32,0.077,519.02,0,49.87,0.0961
51655,2024-11-09,DE-Munich,T0198,81120,Compressor Repair/Replace,51.38,50.62,17.81,119.81,152.32,0.014,150.19,0,30.38,0.2023
51656,2024-09-05,DE-Berlin,T0404,84015,Leak Diagnosis & Seal,324.66,76.51,18.33,419.5,509.45,0.116,450.35,0,30.85,0.0685
51657,2024-01-31,DE-Munich,T0408,81433,Drier Replace,408.02,85.0,32.25,525.27,671.92,0.062,630.26,1,104.99,0.1666
51658,2024-01-23,DE-Munich,T0177,84015,Leak Diagnosis & Seal,243.06,82.54,17.99,343.59,418.49,0.12,368.27,0,24.68,0.067
51659,2024-06-08,DE-Hamburg,T0307,81120,Compressor Repair/Replace,124.14,75.3,21.37,220.81,270.01,0.033,261.1,0,40.29,0.1543
51660,2024-12-28,EU-EMEA-Remote,T0406,81433,Drier Replace,13.1,59.9,18.49,91.49,124.91,0.096,112.92,0,21.43,0.1898
51661,2024-06-06,DE-Munich,T0115,85005,Refrigerant Charge,192.14,75.81,14.14,282.09,344.31,0.185,280.61,0,-1.48,-0.0053
51662,2024-02-08,DE-Munich,T0088,83020,Thermostat Replace,23.65,115.75,13.76,153.16,184.47,0.097,166.58,0,13.42,0.0806
51663,2024-03-22,DE-Berlin,T0151,81433,Drier Replace,282.85,64.49,24.47,371.81,456.22,0.132,396.0,0,24.19,0.0611
51664,2024-12-21,DE-Berlin,T0021,81120,Compressor Repair/Replace,975.09,121.82,21.79,1118.7,1363.86,0.177,1122.46,1,3.76,0.0033
51665,2024-09-14,NL-Amsterdam,T0208,81433,Drier Replace,99.02,111.12,28.1,238.24,299.48,0.156,252.76,0,14.52,0.0574
51666,2024-07-24,AT-Vienna,T0375,81433,Drier Replace,152.36,110.83,20.06,283.25,330.74,0.076,305.6,0,22.35,0.0731
51667,2024-03-17,DE-Berlin,T0475,81120,Compressor Repair/Replace,1012.17,81.14,20.32,1113.63,1514.07,0.191,1224.88,0,111.25,0.0908
51668,2024-01-12,DE-Munich,T0473,82010,Evaporator Coil Replace,399.22,128.2,28.13,555.55,616.44,0.033,596.1,0,40.55,0.068
51669,2024-10-21,DE-Berlin,T0109,82010,Evaporator Coil Replace,251.53,75.88,19.02,346.43,357.15,0.082,327.86,0,-18.57,-0.0566
51670,2024-08-11,NL-Amsterdam,T0099,83020,Thermostat Replace,246.17,55.49,10.48,312.14,380.22,0.09,346.0,0,33.86,0.0979
51671,2024-01-13,NL-Amsterdam,T0183,82010,Evaporator Coil Replace,263.14,79.17,28.78,371.09,450.71,0.06,423.67,1,52.58,0.1241
51672,2024-02-15,EU-EMEA-Remote,T0491,84015,Leak Diagnosis & Seal,124.37,44.73,16.58,185.68,221.32,0.072,205.38,0,19.7,0.0959
51673,2024-06-03,DE-Hamburg,T0092,81433,Drier Replace,279.76,79.92,22.54,382.22,454.74,0.118,401.08,0,18.86,0.047
51674,2024-04-22,DE-Hamburg,T0408,85005,Refrigerant Charge,303.18,73.92,16.99,394.09,465.13,0.071,432.11,0,38.02,0.088
51675,2024-08-20,AT-Vienna,T0034,83020,Thermostat Replace,61.79,89.62,14.22,165.63,192.2,0.213,151.26,0,-14.37,-0.095
51676,2024-01-17,AT-Vienna,T0394,82010,Evaporator Coil Replace,424.49,95.6,6.81,526.9,661.14,0.08,608.25,1,81.35,0.1337
51677,2024-12-25,AT-Vienna,T0483,81120,Compressor Repair/Replace,262.88,80.21,24.71,367.8,439.95,0.088,401.23,0,33.43,0.0833
51678,2024-08-10,DE-Hamburg,T0216,82010,Evaporator Coil Replace,356.67,121.25,5.0,482.92,591.68,0.084,541.98,1,59.06,0.109
51679,2024-12-19,EU-EMEA-Remote,T0142,84015,Leak Diagnosis & Seal,100.24,92.67,32.39,225.3,273.82,0.15,232.75,0,7.45,0.032
51680,2024-07-06,DE-Munich,T0098,81433,Drier Replace,295.08,109.83,30.26,435.17,609.78,0.108,543.92,1,108.75,0.1999
51681,2024-12-09,EU-EMEA-Remote,T0485,85005,Refrigerant Charge,391.71,89.34,14.72,495.77,586.63,0.112,520.93,0,25.16,0.0483
51682,2024-12-30,DE-Munich,T0240,84015,Leak Diagnosis & Seal,121.06,38.76,34.71,194.53,229.4,0.181,187.88,1,-6.65,-0.0354
51683,2024-06-11,DE-Berlin,T0236,82010,Evaporator Coil Replace,589.82,26.57,38.49,654.88,776.98,0.039,746.68,0,91.8,0.1229
51684,2024-11-21,DE-Hamburg,T0172,85005,Refrigerant Charge,282.64,130.12,19.81,432.57,528.28,0.052,500.81,0,68.24,0.1363
51685,2024-03-14,NL-Amsterdam,T0167,81120,Compressor Repair/Replace,351.81,69.11,25.29,446.21,508.75,0.03,493.49,0,47.28,0.0958
51686,2024-08-20,DE-Hamburg,T0094,81433,Drier Replace,286.1,66.73,23.09,375.92,481.0,0.024,469.46,0,93.54,0.1993
51687,2024-08-11,AT-Vienna,T0298,81433,Drier Replace,100.44,83.09,34.11,217.64,204.33,0.071,189.82,0,-27.82,-0.1466
51688,2024-11-14,DE-Hamburg,T0106,81120,Compressor Repair/Replace,807.92,90.89,10.86,909.67,1117.29,0.111,993.27,0,83.6,0.0842
51689,2024-02-29,DE-Berlin,T0046,82010,Evaporator Coil Replace,783.68,117.66,20.18,921.52,1107.44,0.053,1048.75,0,127.23,0.1213
51690,2024-11-30,EU-EMEA-Remote,T0161,81433,Drier Replace,422.64,106.95,29.36,558.95,588.77,0.077,543.43,0,-15.52,-0.0286
51691,2024-08-09,DE-Berlin,T0453,85005,Refrigerant Charge,49.43,115.22,28.51,193.16,248.87,0.048,236.92,0,43.76,0.1847
51692,2024-02-06,EU-EMEA-Remote,T0140,81120,Compressor Repair/Replace,434.6,56.04,21.66,512.3,627.51,0.102,563.5,0,51.2,0.0909
51693,2024-10-04,AT-Vienna,T0497,83020,Thermostat Replace,71.36,88.9,33.14,193.4,227.43,0.05,216.06,0,22.66,0.1049
51694,2024-07-14,EU-EMEA-Remote,T0016,83020,Thermostat Replace,341.8,66.97,23.87,432.64,443.99,0.066,414.69,1,-17.95,-0.0433
51695,2024-12-17,EU-EMEA-Remote,T0055,82010,Evaporator Coil Replace,185.06,80.15,22.91,288.12,369.64,0.215,290.17,1,2.05,0.0071
51696,2024-08-29,EU-EMEA-Remote,T0444,85005,Refrigerant Charge,169.17,48.79,27.58,245.54,274.68,0.086,251.06,0,5.52,0.022
51697,2024-11-19,AT-Vienna,T0471,81120,Compressor Repair/Replace,35.56,33.46,21.51,90.53,98.64,0.152,83.65,0,-6.88,-0.0822
51698,2024-08-06,NL-Amsterdam,T0465,82010,Evaporator Coil Replace,433.33,83.12,22.4,538.85,601.79,0.07,559.66,0,20.81,0.0372
51699,2024-07-10,DE-Hamburg,T0065,82010,Evaporator Coil Replace,128.56,65.41,15.7,209.67,255.26,0.076,235.86,0,26.19,0.111
51700,2024-01-17,DE-Hamburg,T0042,81120,Compressor Repair/Replace,450.72,109.98,45.47,606.17,828.87,0.158,697.91,0,91.74,0.1314
51701,2024-01-12,NL-Amsterdam,T0070,84015,Leak Diagnosis & Seal,215.29,76.13,18.21,309.63,353.37,0.146,301.78,1,-7.85,-0.026
51702,2024-07-11,DE-Hamburg,T0220,82010,Evaporator Coil Replace,269.59,105.87,27.83,403.29,507.62,0.093,460.41,1,57.12,0.1241
51703,2024-01-22,NL-Amsterdam,T0005,84015,Leak Diagnosis & Seal,695.17,122.29,37.27,854.73,920.54,0.211,726.31,0,-128.42,-0.1768
51704,2024-04-29,DE-Munich,T0425,82010,Evaporator Coil Replace,1461.85,48.47,11.26,1521.58,1935.57,0.15,1645.23,1,123.65,0.0752
51705,2024-07-28,DE-Munich,T0009,81433,Drier Replace,46.9,63.71,26.89,137.5,159.18,0.231,122.41,1,-15.09,-0.1233
51706,2024-11-01,DE-Munich,T0193,83020,Thermostat Replace,92.27,89.06,22.19,203.52,269.8,0.079,248.49,0,44.97,0.181
51707,2024-09-26,DE-Berlin,T0048,84015,Leak Diagnosis & Seal,437.9,92.75,36.36,567.01,633.57,0.031,613.93,0,46.92,0.0764
51708,2024-07-10,DE-Hamburg,T0451,85005,Refrigerant Charge,186.03,131.31,14.73,332.07,401.4,0.041,384.94,0,52.87,0.1373
51709,2024-06-23,EU-EMEA-Remote,T0286,84015,Leak Diagnosis & Seal,421.16,108.28,15.98,545.42,771.38,0.098,695.78,0,150.36,0.2161
51710,2024-10-11,AT-Vienna,T0233,83020,Thermostat Replace,113.84,86.71,21.6,222.15,288.86,0.075,267.2,0,45.05,0.1686
51711,2024-07-22,AT-Vienna,T0121,81120,Compressor Repair/Replace,671.64,84.57,18.05,774.26,921.99,0.14,792.91,0,18.65,0.0235
51712,2024-06-12,DE-Munich,T0469,84015,Leak Diagnosis & Seal,280.68,106.59,18.33,405.6,467.21,0.092,424.23,1,18.63,0.0439
51713,2024-09-07,DE-Berlin,T0169,83020,Thermostat Replace,166.37,39.18,38.23,243.78,303.98,0.186,247.44,1,3.66,0.0148
51714,2024-08-14,DE-Munich,T0446,84015,Leak Diagnosis & Seal,85.81,63.7,23.02,172.53,210.15,0.159,176.74,1,4.21,0.0238
51715,2024-01-07,DE-Munich,T0256,84015,Leak Diagnosis & Seal,259.57,90.96,15.72,366.25,359.32,0.183,293.56,1,-72.69,-0.2476
51716,2024-01-29,EU-EMEA-Remote,T0273,83020,Thermostat Replace,220.61,88.54,18.88,328.03,381.27,0.082,350.01,0,21.98,0.0628
51717,2024-02-02,NL-Amsterdam,T0196,83020,Thermostat Replace,153.05,46.49,25.24,224.78,312.39,0.219,243.98,0,19.2,0.0787
51718,2024-05-13,NL-Amsterdam,T0495,81433,Drier Replace,201.29,44.32,24.7,270.31,340.69,0.08,313.43,0,43.12,0.1376
51719,2024-03-19,DE-Hamburg,T0353,83020,Thermostat Replace,173.99,61.95,17.38,253.32,252.49,0.119,222.44,0,-30.88,-0.1388
51720,2024-02-27,DE-Munich,T0367,83020,Thermostat Replace,139.75,111.27,8.98,260.0,312.89,0.022,306.01,0,46.01,0.1504
51721,2024-01-26,NL-Amsterdam,T0057,83020,Thermostat Replace,116.81,55.83,21.6,194.24,255.66,0.059,240.58,0,46.34,0.1926
51722,2024-08-13,AT-Vienna,T0232,81120,Compressor Repair/Replace,563.52,116.87,21.38,701.77,862.21,0.094,781.16,0,79.39,0.1016
51723,2024-10-11,DE-Hamburg,T0478,85005,Refrigerant Charge,129.04,117.37,16.83,263.24,306.38,0.178,251.84,1,-11.4,-0.0453
51724,2024-01-04,DE-Berlin,T0173,84015,Leak Diagnosis & Seal,80.64,85.27,32.24,198.15,213.28,0.058,200.91,1,2.76,0.0137
51725,2024-04-08,DE-Hamburg,T0028,84015,Leak Diagnosis & Seal,674.29,64.96,26.6,765.85,901.13,0.114,798.4,0,32.55,0.0408
51726,2024-02-08,DE-Berlin,T0377,83020,Thermostat Replace,73.24,89.93,23.08,186.25,197.02,0.048,187.56,0,1.31,0.007
51727,2024-09-27,DE-Munich,T0024,81433,Drier Replace,44.45,89.46,19.11,153.02,187.19,0.114,165.85,0,12.83,0.0774
51728,2024-10-11,NL-Amsterdam,T0313,81120,Compressor Repair/Replace,474.08,54.81,35.86,564.75,743.7,0.063,696.85,0,132.1,0.1896
51729,2024-06-05,DE-Munich,T0234,82010,Evaporator Coil Replace,1098.36,65.55,12.76,1176.67,1510.33,0.307,1046.66,1,-130.01,-0.1242
51730,2024-03-15,DE-Hamburg,T0215,82010,Evaporator Coil Replace,578.56,88.41,18.03,685.0,821.27,0.146,701.36,0,16.36,0.0233
51731,2024-10-14,DE-Berlin,T0209,81433,Drier Replace,458.11,125.87,18.38,602.36,716.97,0.115,634.52,0,32.16,0.0507
51732,2024-05-09,NL-Amsterdam,T0427,81120,Compressor Repair/Replace,139.26,59.97,24.39,223.62,238.92,0.022,233.66,0,10.04,0.043
51733,2024-06-23,DE-Munich,T0107,82010,Evaporator Coil Replace,122.67,75.03,27.29,224.99,287.92,0.121,253.08,0,28.09,0.111
51734,2024-03-24,DE-Hamburg,T0064,85005,Refrigerant Charge,107.32,93.92,11.31,212.55,259.09,0.102,232.66,1,20.11,0.0864
51735,2024-01-22,DE-Berlin,T0220,81120,Compressor Repair/Replace,638.06,79.17,16.52,733.75,973.95,0.145,832.73,0,98.98,0.1189
51736,2024-01-27,EU-EMEA-Remote,T0100,84015,Leak Diagnosis & Seal,361.5,69.14,25.58,456.22,521.02,0.131,452.77,1,-3.45,-0.0076
51737,2024-07-13,NL-Amsterdam,T0417,83020,Thermostat Replace,190.4,57.46,16.68,264.54,339.14,0.055,320.49,0,55.95,0.1746
51738,2024-12-02,NL-Amsterdam,T0354,85005,Refrigerant Charge,156.49,57.02,18.79,232.3,311.52,0.062,292.21,0,59.91,0.205
51739,2024-08-23,DE-Munich,T0462,84015,Leak Diagnosis & Seal,186.94,126.98,23.38,337.3,439.43,0.089,400.32,0,63.02,0.1574
51740,2024-04-01,AT-Vienna,T0098,85005,Refrigerant Charge,161.87,78.51,14.16,254.54,303.76,0.088,277.03,1,22.49,0.0812
51741,2024-01-21,AT-Vienna,T0412,85005,Refrigerant Charge,125.53,111.75,24.22,261.5,328.36,0.135,284.03,0,22.53,0.0793
51742,2024-10-29,DE-Munich,T0066,81433,Drier Replace,132.34,131.15,26.9,290.39,344.56,0.231,264.97,1,-25.42,-0.0959
51743,2024-12-22,DE-Hamburg,T0335,81433,Drier Replace,243.96,72.1,22.31,338.37,412.51,0.094,373.73,0,35.36,0.0946
51744,2024-03-24,DE-Hamburg,T0342,82010,Evaporator Coil Replace,298.8,75.45,33.4,407.65,500.6,0.166,417.5,0,9.85,0.0236
51745,2024-09-18,NL-Amsterdam,T0159,84015,Leak Diagnosis & Seal,298.66,69.5,27.8,395.96,447.39,0.187,363.73,0,-32.23,-0.0886
51746,2024-05-26,EU-EMEA-Remote,T0398,82010,Evaporator Coil Replace,49.01,38.86,21.67,109.54,132.02,0.18,108.26,0,-1.28,-0.0118
51747,2024-09-13,EU-EMEA-Remote,T0275,82010,Evaporator Coil Replace,420.91,40.54,19.43,480.88,507.67,0.104,454.87,1,-26.01,-0.0572
51748,2024-02-27,AT-Vienna,T0162,81433,Drier Replace,148.65,68.29,36.04,252.98,332.41,0.01,329.09,0,76.11,0.2313
51749,2024-01-15,DE-Hamburg,T0052,81120,Compressor Repair/Replace,791.25,72.1,16.71,880.06,1016.2,0.066,949.13,0,69.07,0.0728
51750,2024-06-10,AT-Vienna,T0223,83020,Thermostat Replace,28.22,136.96,19.82,185.0,223.15,0.095,201.95,0,16.95,0.0839
51751,2024-06-11,NL-Amsterdam,T0165,83020,Thermostat Replace,132.61,70.74,18.72,222.07,245.51,0.092,222.92,0,0.85,0.0038
51752,2024-11-15,NL-Amsterdam,T0137,81120,Compressor Repair/Replace,556.17,126.74,25.18,708.09,801.03,0.018,786.61,0,78.52,0.0998
51753,2024-10-07,AT-Vienna,T0469,81433,Drier Replace,166.51,64.6,40.04,271.15,351.74,0.181,288.08,0,16.93,0.0588
51754,2024-10-06,DE-Hamburg,T0059,83020,Thermostat Replace,96.41,110.03,23.97,230.41,279.07,0.14,240.0,1,9.59,0.04
51755,2024-01-12,AT-Vienna,T0438,85005,Refrigerant Charge,258.93,89.76,19.42,368.11,389.42,0.066,363.72,1,-4.39,-0.0121
51756,2024-09-30,DE-Hamburg,T0288,85005,Refrigerant Charge,207.19,99.77,23.51,330.47,394.21,0.159,331.53,0,1.06,0.0032
51757,2024-09-27,NL-Amsterdam,T0340,82010,Evaporator Coil Replace,561.71,63.7,11.5,636.91,866.74,0.133,751.46,0,114.55,0.1524
